:START_ID,:END_ID,:TYPE,weight:float
CDC_art18,AREsp_1888122,INTERPRETED_BY_ISOLATED_CASE,0.3
CDC_art18,AREsp_1862595,INTERPRETED_BY_ISOLATED_CASE,0.3
CDC_art18,AREsp_1974538,INTERPRETED_BY_ISOLATED_CASE,0.3
CDC_art18,REsp_1985198,INTERPRETED_BY_ISOLATED_CASE,0.3
CDC_art18,AREsp_1915428,INTERPRETED_BY_ISOLATED_CASE,0.3
CDC_art18,AREsp_1355970,INTERPRETED_BY_ISOLATED_CASE,0.3
CDC_art18,REsp_1865822,INTERPRETED_BY_ISOLATED_CASE,0.3
CDC_art18,AREsp_1690627,INTERPRETED_BY_ISOLATED_CASE,0.3
CDC_art18,AREsp_1742164,INTERPRETED_BY_ISOLATED_CASE,0.3
CDC_art18,AREsp_1926754,INTERPRETED_BY_ISOLATED_CASE,0.3
CDC_art18,REsp_1982739,INTERPRETED_BY_ISOLATED_CASE,0.3
CDC_art18,REsp_1312009,INTERPRETED_BY_ISOLATED_CASE,0.3
CDC_art18,AREsp_1943853,INTERPRETED_BY_ISOLATED_CASE,0.3
CDC_art18,REsp_1968143,INTERPRETED_BY_ISOLATED_CASE,0.3
CDC_art18,REsp_1753625,INTERPRETED_BY_ISOLATED_CASE,0.3
CDC_art18,RHC_153841,INTERPRETED_BY_ISOLATED_CASE,0.3
CDC_art18,REsp_1787287,INTERPRETED_BY_ISOLATED_CASE,0.3
CDC_art18,AREsp_1826909,INTERPRETED_BY_ISOLATED_CASE,0.3
CDC_art18,REsp_1903961,INTERPRETED_BY_ISOLATED_CASE,0.3
CDC_art18,AREsp_1794483,INTERPRETED_BY_ISOLATED_CASE,0.3
CDC_art18,CDC_art18_par1,HAS_SUB_PROVISION,1.0
CDC_art18_par1,CDC_art18_par1_incI,HAS_INCISE,1.0
CDC_art18_par1,CDC_art18_par1_incII,HAS_INCISE,1.0
CDC_art18_par1,CDC_art18_par1_incIII,HAS_INCISE,1.0
CDC_art18,CDC_art18_par2,HAS_SUB_PROVISION,1.0
CDC_art18,CDC_art18_par3,HAS_SUB_PROVISION,1.0
CDC_art18,CDC_art18_par4,HAS_SUB_PROVISION,1.0
CDC_art18,CDC_art18_par5,HAS_SUB_PROVISION,1.0
CDC_art18,CDC_art18_par6,HAS_SUB_PROVISION,1.0
CDC_art18_par6,CDC_art18_par6_incI,HAS_INCISE,1.0
CDC_art18_par6,CDC_art18_par6_incII,HAS_INCISE,1.0
CDC_art18_par6,CDC_art18_par6_incIII,HAS_INCISE,1.0
REsp_1556132,EXT_RESP_1453275_SC,CITES_EXTERNAL,1.0
