nodeId:ID,:LABEL,law,article:int,text,is_stub:boolean
CDC_art18,LegalProvision,CDC,18,"Art. 18 . Os fornecedores de produtos de consumo duráveis ou não duráveis respondem solidariamente pelos vícios de qualidade ou quantidade que os tornem impróprios ou inadequados ao consumo a que se destinam ou lhes diminuam o valor, assim como por aqueles decorrentes da disparidade, com a indicações constantes do recipiente, da embalagem, rotulagem ou mensagem publicitária, respeitadas as variações decorrentes de sua natureza, podendo o consumidor exigir a substituição das partes viciadas.",false
CDC_art26,LegalProvision,CDC,26,,true
