nodeId:ID,:LABEL,citation_raw,inferred_type,court,authority_weight:float,case_number,origin_state,adjudicating_body,rapporteur,decision_date,cited_ementa
EXT_RESP_1359156_SP,ExternalCitation,REsp 1359156/SP,Case,STJ,0.7835,,,,,,
EXT_RESP_866_371_RS,ExternalCitation,REsp 866.371/RS,Case,STJ,0.7835,,,,,,
EXT_RESP_1037348_SP,ExternalCitation,REsp 1037348/SP,Case,STJ,0.7835,,,,,,
EXT_ART__14_DO_CDC,ExternalCitation,art. 14 do CDC,Unknown,,0.7835,,,,,,
EXT_ARTIGO_14_DO_CODIGO_DE_DEFESA_DO_CONSUMIDOR,ExternalCitation,artigo 14 do Código de Defesa do Consumidor,Unknown,,0.7835,,,,,,
EXT_RESP_829_317_RS,ExternalCitation,REsp 829.317/RS,Case,STJ,0.7516,,,,,,
EXT_HC_137_154_SP,ExternalCitation,HC 137.154/SP,Case,STJ,0.7516,,,,,,
EXT_HC_81_911_SP,ExternalCitation,HC 81.911/SP,Case,STJ,0.7516,,,,,,
EXT_HC_51_317_SP,ExternalCitation,HC 51.317/SP,Case,STJ,0.7516,,,,,,
EXT_HC_No_38_331_RJ,ExternalCitation,HC nº 38.331/RJ,Case,STJ,0.7516,,,,,,
EXT_HC_82_959,ExternalCitation,HC 82.959,Case,STJ,0.7516,,,,,,
EXT_RESP_262_675_TO,ExternalCitation,REsp 262.675/TO,Case,STJ,0.7341,,,,,,
EXT_RESP_619_515_DF,ExternalCitation,REsp 619.515/DF,Case,STJ,0.7341,,,,,,
EXT_RESP_816_545_SE,ExternalCitation,REsp 816.545/SE,Case,STJ,0.7341,,,,,,
EXT_RESP_833_447_SE,ExternalCitation,REsp 833.447/SE,Case,STJ,0.7341,,,,,,
EXT_RESP_885_263_RJ,ExternalCitation,REsp 885.263/RJ,Case,STJ,0.7341,,,,,,
EXT_RESP_No_119_267_SP,ExternalCitation,REsp nº 119.267/SP,Case,STJ,0.7341,,,,,,
EXT_RESP_1_127_003_RN,ExternalCitation,REsp 1.127.003/RN,Case,STJ,0.7341,,,,,,
EXT_RESP_306_155_MG,ExternalCitation,REsp 306.155/MG,Case,STJ,0.7341,,,,,,
EXT_RESP_No_989_392_DF,ExternalCitation,REsp nº 989.392/DF,Case,STJ,1.0,,,,,,
EXT_RESP_1483876_SE,ExternalCitation,REsp 1483876/SE,Case,STJ,1.0,,,,,,
EXT_RESP_1421951_SE,ExternalCitation,REsp 1421951/SE,Case,STJ,1.0,,,,,,
EXT_ARESP_666_127_RJ,ExternalCitation,AREsp 666.127/RJ,Case,STJ,1.0,,,,,,
EXT_ARESP_288_165_DF,ExternalCitation,AREsp 288.165/DF,Case,STJ,1.0,,,,,,
EXT_ARESP_39_731_MG,ExternalCitation,AREsp 39.731/MG,Case,STJ,1.0,,,,,,
EXT_RESP_1_049_639_,ExternalCitation,"REsp 1.049.639,",Case,STJ,1.0,,,,,,
EXT_RESP_80_036_SP,ExternalCitation,REsp 80.036/SP,Case,STJ,1.0,,,,,,
EXT_ARESP_504_022,ExternalCitation,AREsp 504.022,Case,STJ,1.0,,,,,,
EXT_RESP_1_207_538,ExternalCitation,REsp 1.207.538,Case,STJ,1.0,,,,,,
EXT_RESP_No_306_155_MG,ExternalCitation,REsp nº 306.155/MG,Case,STJ,1.0,,,,,,
EXT_RESP_586316_MG,ExternalCitation,REsp 586316/MG,Case,STJ,1.0,,,,,,
EXT_RESP_1337990_SP,ExternalCitation,REsp 1337990/SP,Case,STJ,0.9549,,,,,,
EXT_RESP_1402104_RJ,ExternalCitation,REsp 1402104/RJ,Case,STJ,0.9549,,,,,,
EXT_RESP_1284096_MG,ExternalCitation,REsp 1284096/MG,Case,STJ,0.9549,,,,,,
EXT_RESP_1338214_MT,ExternalCitation,REsp 1338214/MT,Case,STJ,0.9549,,,,,,
EXT_RESP_1186616_MG,ExternalCitation,REsp 1186616/MG,Case,STJ,0.9549,,,,,,
EXT_RESP_1_155_684_RN,ExternalCitation,REsp 1.155.684/RN,Case,STJ,0.7862,,,,,,
EXT_RESP_793_977_RS,ExternalCitation,REsp 793.977/RS,Case,STJ,0.7862,,,,,,
EXT_RESP_600_677_RS,ExternalCitation,REsp 600.677/RS,Case,STJ,0.7862,,,,,,
EXT_RESP_560_405_RS,ExternalCitation,REsp 560.405/RS,Case,STJ,0.7862,,,,,,
EXT_RESP_831837_RS,ExternalCitation,REsp 831837/RS,Case,STJ,0.7862,,,,,,
EXT_ARESP_764_388_SE,ExternalCitation,AREsp 764.388/SE,Case,STJ,0.7274,,,,,,
EXT_ARESP_295_151_MG,ExternalCitation,AREsp 295.151/MG,Case,STJ,0.7274,,,,,,
EXT_RESP_1406109_SP,ExternalCitation,REsp 1406109/SP,Case,STJ,0.7274,,,,,,
EXT_RESP_1_536_786_MG,ExternalCitation,REsp 1.536.786/MG,Case,STJ,0.7274,,,,,,
EXT_RESP_1_207_071_RJ,ExternalCitation,REsp 1.207.071/RJ,Case,STJ,0.7274,,,,,,
EXT_RESP_1269499_SP,ExternalCitation,REsp 1269499/SP,Case,STJ,0.7274,,,,,,
EXT_RESP_1184621_MS,ExternalCitation,REsp 1184621/MS,Case,STJ,0.7274,,,,,,
EXT_RESP_1443304_SE,ExternalCitation,REsp 1443304/SE,Case,STJ,0.7274,,,,,,
EXT_RESP_150312_ES,ExternalCitation,REsp 150312/ES,Case,STJ,0.7274,,,,,,
EXT_RESP_1135796_RS,ExternalCitation,REsp 1135796/RS,Case,STJ,0.7274,,,,,,
EXT_RESP_1_425_326_RS,ExternalCitation,REsp 1.425.326/RS,Case,STJ,0.7274,,,,,,
EXT_RESP_1_172_363_RS,ExternalCitation,RESP 1.172.363/RS,Case,STJ,0.7274,,,,,,
EXT_ARESP_560_639_SE,ExternalCitation,AREsp 560.639/SE,Case,STJ,0.7274,,,,,,
EXT_ARESP_710_777_SE,ExternalCitation,AREsp 710.777/SE,Case,STJ,0.7274,,,,,,
EXT_ARESP_549_742_SE,ExternalCitation,AREsp 549.742/SE,Case,STJ,0.7274,,,,,,
EXT_RESP_1431273_SE,ExternalCitation,REsp 1431273/SE,Case,STJ,0.7274,,,,,,
EXT_ARESP_810_480_SE,ExternalCitation,AREsp 810.480/SE,Case,STJ,0.7274,,,,,,
EXT_RESP_1_449_806_,ExternalCitation,"REsp 1.449.806,",Case,STJ,0.7274,,,,,,
EXT_ARESP_900_971_SE,ExternalCitation,AREsp 900.971/SE,Case,STJ,0.7274,,,,,,
EXT_ARESP_662_145_SE,ExternalCitation,AREsp 662.145/SE,Case,STJ,0.7274,,,,,,
EXT_ARESP_913_507_SE,ExternalCitation,AREsp 913.507/SE,Case,STJ,0.7274,,,,,,
EXT_ARESP_556_952_MS,ExternalCitation,AREsp 556.952/MS,Case,STJ,0.7274,,,,,,
EXT_ARESP_297_647_SC,ExternalCitation,AREsp 297.647/SC,Case,STJ,0.7274,,,,,,
