:START_ID,:END_ID,:TYPE,weight:float
CDC_art1,CC_ADI_4862,CONTROLLED_BY,1.0
CDC_art1,CC_ADI-MC_3322,CONTROLLED_BY,1.0
CDC_art1,Topic_28,INTERPRETED_BY_BINDING_THESIS,1.0
CDC_art1,Topic_29,INTERPRETED_BY_BINDING_THESIS,1.0
CDC_art1,Topic_24,INTERPRETED_BY_BINDING_THESIS,1.0
CDC_art1,Topic_25,INTERPRETED_BY_BINDING_THESIS,1.0
CDC_art1,Topic_26,INTERPRETED_BY_BINDING_THESIS,1.0
CDC_art1,Topic_27,INTERPRETED_BY_BINDING_THESIS,1.0
CDC_art1,Topic_30,INTERPRETED_BY_BINDING_THESIS,1.0
CDC_art1,Topic_31,INTERPRETED_BY_BINDING_THESIS,1.0
CDC_art1,Topic_32,INTERPRETED_BY_BINDING_THESIS,1.0
CDC_art1,Topic_33,INTERPRETED_BY_BINDING_THESIS,1.0
CDC_art1,Topic_34,INTERPRETED_BY_BINDING_THESIS,1.0
CDC_art1,Topic_35,INTERPRETED_BY_BINDING_THESIS,1.0
CDC_art1,Topic_36,INTERPRETED_BY_BINDING_THESIS,1.0
CDC_art1,AREsp_1413621,INTERPRETED_BY_LEADING_CASE,1.0
CDC_art1,REsp_1807470,INTERPRETED_BY_LEADING_CASE,0.8107
CDC_art1,REsp_850718,INTERPRETED_BY_LEADING_CASE,0.6275
CDC_art1,REsp_1469599,INTERPRETED_BY_LEADING_CASE,0.4283
CDC_art1,AREsp_645649,INTERPRETED_BY_LEADING_CASE,0.4283
CDC_art1,AREsp_829550,INTERPRETED_BY_LEADING_CASE,0.4283
CDC_art1,REsp_1639320,INTERPRETED_BY_LEADING_CASE,0.2702
CDC_art1,AREsp_830448,INTERPRETED_BY_LEADING_CASE,0.2702
CDC_art1,REsp_1676857,INTERPRETED_BY_LEADING_CASE,0.2702
CDC_art1,REsp_1987688,INTERPRETED_BY_ISOLATED_CASE,0.3
CDC_art1,REsp_1859104,INTERPRETED_BY_ISOLATED_CASE,0.3
CDC_art1,REsp_1776921,INTERPRETED_BY_ISOLATED_CASE,0.3
CDC_art1,AREsp_1755690,INTERPRETED_BY_ISOLATED_CASE,0.3
CDC_art1,AREsp_1910165,INTERPRETED_BY_ISOLATED_CASE,0.3
CDC_art1,AREsp_1978228,INTERPRETED_BY_ISOLATED_CASE,0.3
CDC_art1,AREsp_1871696,INTERPRETED_BY_ISOLATED_CASE,0.3
CDC_art1,AREsp_1755447,INTERPRETED_BY_ISOLATED_CASE,0.3
CDC_art1,AREsp_1846754,INTERPRETED_BY_ISOLATED_CASE,0.3
CDC_art1,REsp_1850781,INTERPRETED_BY_ISOLATED_CASE,0.3
CDC_art1,REsp_1358159,INTERPRETED_BY_ISOLATED_CASE,0.3
CDC_art1,REsp_1831014,INTERPRETED_BY_ISOLATED_CASE,0.3
CDC_art1,REsp_1915511,INTERPRETED_BY_ISOLATED_CASE,0.3
CDC_art1,AREsp_1776456,INTERPRETED_BY_ISOLATED_CASE,0.3
CDC_art1,REsp_1832217,INTERPRETED_BY_ISOLATED_CASE,0.3
CDC_art1,REsp_1661913,INTERPRETED_BY_ISOLATED_CASE,0.3
CDC_art1,REsp_1862876,INTERPRETED_BY_ISOLATED_CASE,0.3
CDC_art1,REsp_1831389,INTERPRETED_BY_ISOLATED_CASE,0.3
CDC_art1,REsp_1431391,INTERPRETED_BY_ISOLATED_CASE,0.3
CDC_art1,AREsp_1550527,INTERPRETED_BY_ISOLATED_CASE,0.3
CDC_art1,AREsp_1558073,INTERPRETED_BY_ISOLATED_CASE,0.3
CDC_art1,REsp_1824583,INTERPRETED_BY_ISOLATED_CASE,0.3
CDC_art1,AREsp_1345058,INTERPRETED_BY_ISOLATED_CASE,0.3
CDC_art1,REsp_1449313,INTERPRETED_BY_ISOLATED_CASE,0.3
CDC_art1,AREsp_1481321,INTERPRETED_BY_ISOLATED_CASE,0.3
CDC_art1,REsp_1693941,INTERPRETED_BY_ISOLATED_CASE,0.3
CDC_art1,REsp_1343290,INTERPRETED_BY_ISOLATED_CASE,0.3
CDC_art1,REsp_1326592,INTERPRETED_BY_ISOLATED_CASE,0.3
CDC_art1,AREsp_1361836,INTERPRETED_BY_ISOLATED_CASE,0.3
CDC_art1,AREsp_1370708,INTERPRETED_BY_ISOLATED_CASE,0.3
CDC_art1,AREsp_1361087,INTERPRETED_BY_ISOLATED_CASE,0.3
CDC_art1,AREsp_1261721,INTERPRETED_BY_ISOLATED_CASE,0.3
CDC_art1,REsp_1785652,INTERPRETED_BY_ISOLATED_CASE,0.3
CDC_art1,REsp_1713271,INTERPRETED_BY_ISOLATED_CASE,0.3
CDC_art1,EREsp_1680751,INTERPRETED_BY_ISOLATED_CASE,0.3
CDC_art1,AREsp_913776,INTERPRETED_BY_ISOLATED_CASE,0.3
CDC_art1,AREsp_1262202,INTERPRETED_BY_ISOLATED_CASE,0.3
