nodeId,edition,thesis_text,source_url,temporal_status,authority_weight
STJThesis_EDICAO_N__2__PLANOS_DE_SAUDE_-_I_t1,EDIÇÃO N. 2: PLANOS DE SAÚDE - I,1) Aplica-se o Código de Defesa do Consumidor aos contratos de plano de saúde (Súmula n. 469/STJ).,http://www.stj.jus.br/SCON/jt/toc.jsp?edicao=EDICAO+N.+++2%3A+PLANOS+DE+SAUDE+-+I,active,0.8
STJThesis_EDICAO_N__83__BANCARIO_-_II_t3,EDIÇÃO N. 83: BANCÁRIO - II,3) O Código de Defesa do Consumidor é aplicável às instituições financeiras. (Súmula n. 297/STJ),http://www.stj.jus.br/SCON/jt/toc.jsp?edicao=EDICAO+N.+83%3A+BANCARIO+-+II,active,0.8
STJThesis_EDICAO_N__42__DIREITO_DO_CONSUMIDOR_II_t15,EDIÇÃO N. 42: DIREITO DO CONSUMIDOR II,15) O Código de Defesa do Consumidor é aplicável às instituições financeiras. (Súmula n. 297/STJ),http://www.stj.jus.br/SCON/jt/toc.jsp?edicao=EDICAO+N.+42%3A+DIREITO+DO+CONSUMIDOR+II,active,0.8
STJThesis_EDICAO_N__74__DIREITO_DO_CONSUMIDOR_III_t17,EDIÇÃO N. 74: DIREITO DO CONSUMIDOR III,"17) O Código de Defesa do Consumidor não se aplica ao contrato de plano de saúde administrado por entidade de autogestão, por inexistir relação de consumo.",http://www.stj.jus.br/SCON/jt/toc.jsp?edicao=EDICAO+N.+74%3A+DIREITO+DO+CONSUMIDOR+III,active,0.8
STJThesis_EDICAO_N__74__DIREITO_DO_CONSUMIDOR_III_t18,EDIÇÃO N. 74: DIREITO DO CONSUMIDOR III,18) É solidária a responsabilidade entre aqueles que veiculam publicidade enganosa e os que dela se aproveitam na comercialização de seu produto ou serviço.,http://www.stj.jus.br/SCON/jt/toc.jsp?edicao=EDICAO+N.+74%3A+DIREITO+DO+CONSUMIDOR+III,active,0.8
STJThesis_EDICAO_N__71__PREVIDENCIA_COMPLEMENTAR_t12,EDIÇÃO N. 71: PREVIDÊNCIA COMPLEMENTAR,"12) O Código de Defesa do Consumidor é aplicável às entidades abertas de previdência complementar, não incidindo nos contratos previdenciários celebrados com entidades fechadas. (Súmula n. 563/STJ)",http://www.stj.jus.br/SCON/jt/toc.jsp?edicao=EDICAO+N.+71%3A+PREVIDENCIA+COMPLEMENTAR,active,0.8
STJThesis_EDICAO_N__19__PROCESSO_COLETIVO_I_-_LEGITIMIDADE_t1,EDIÇÃO N. 19: PROCESSO COLETIVO I - LEGITIMIDADE,"1) O Ministério Público tem legitimidade para atuar em defesa dos direitos difusos, coletivos e individuais homogêneos dos consumidores.",http://www.stj.jus.br/SCON/jt/toc.jsp?edicao=EDICAO+N.+19%3A+PROCESSO+COLETIVO+I+-+LEGITIMIDADE,active,0.8
STJThesis_EDICAO_N__116__DO_SEGURO_DE_DANO_t1,EDIÇÃO N. 116: DO SEGURO DE DANO,"1) Em caso de perda total decorrente de incêndio, sem que se possa precisar o valor dos prejuízos no imóvel segurado, será devido o valor integral da apólice.",http://www.stj.jus.br/SCON/jt/toc.jsp?edicao=EDICAO+N.+116%3A+DO+SEGURO+DE+DANO,active,0.8
STJThesis_EDICAO_N__162__DIREITO_DO_CONSUMIDOR_-_VI_t3,EDIÇÃO N. 162: DIREITO DO CONSUMIDOR - VI,3) Aplica-se o Código de Defesa do Consumidor aos contratos relativos a aplicações em fundos de investimento celebrados entre instituições financeiras e seus clientes.,http://www.stj.jus.br/SCON/jt/toc.jsp?edicao=EDICAO+N.+162%3A+DIREITO+DO+CONSUMIDOR+-+VI,active,0.8
STJThesis_EDICAO_N__164__DIREITO_DO_CONSUMIDOR_-_VIII_t9,EDIÇÃO N. 164: DIREITO DO CONSUMIDOR - VIII,9) O provedor de buscas de produtos voltado ao comércio eletrônico que não realiza qualquer intermediação entre consumidor e vendedor não pode ser responsabilizado por vício de mercadoria ou inadimplemento contratual.,http://www.stj.jus.br/SCON/jt/toc.jsp?edicao=EDICAO+N.+164%3A+DIREITO+DO+CONSUMIDOR+-+VIII,active,0.8
