nodeId,law,article,sub_ref,sub_type,text,parent_id
CDC_art18_par6_incII,CDC,18,II,incise,"II - os produtos deteriorados, alterados, adulterados, avariados, falsificados, corrompidos, fraudados, nocivos à vida ou à saúde, perigosos ou, ainda, aqueles em desacordo com as normas regulamentares de fabricação, distribuição ou apresentação;",CDC_art18_par6
CDC_art18_par6_incIII,CDC,18,III,incise,"III - os produtos que, por qualquer motivo, se revelem inadequados ao fim a que se destinam.",CDC_art18_par6
CDC_art19_par1,CDC,19,§ 1°,paragraph,§ 1° Aplica-se a este artigo o disposto no § 4° do artigo anterior.,CDC_art19
CDC_art19_par2,CDC,19,§ 2°,paragraph,§ 2° O fornecedor imediato será responsável quando fizer a pesagem ou a medição e o instrumento utilizado não estiver aferido segundo os padrões oficiais.,CDC_art19
CDC_art20_par1,CDC,20,§ 1°,paragraph,"§ 1° A reexecução dos serviços poderá ser confiada a terceiros devidamente capacitados, por conta e risco do fornecedor.",CDC_art20
CDC_art20_par2,CDC,20,§ 2°,paragraph,"§ 2° São impróprios os serviços que se mostrem inadequados para os fins que razoavelmente deles se esperam, bem como aqueles que não atendam as normas regulamentares de prestabilidade.",CDC_art20
CDC_art25_par1,CDC,25,§ 1°,paragraph,"§ 1° Havendo mais de um responsável pela causação do dano, todos responderão solidariamente pela reparação prevista nesta e nas seções anteriores.",CDC_art25
CDC_art25_par2,CDC,25,§ 2°,paragraph,"§ 2° Sendo o dano causado por componente ou peça incorporada ao produto ou serviço, são responsáveis solidários seu fabricante, construtor ou importador e o que realizou a incorporação.",CDC_art25
CDC_art26_par1,CDC,26,§ 1°,paragraph,§ 1° Inicia-se a contagem do prazo decadencial a partir da entrega efetiva do produto ou do término da execução dos serviços.,CDC_art26
CDC_art26_par2,CDC,26,§ 2°,paragraph,§ 2° Obstam a decadência:,CDC_art26
CDC_art26_par2_incI,CDC,26,I,incise,"I - a reclamação comprovadamente formulada pelo consumidor perante o fornecedor de produtos e serviços até a resposta negativa correspondente, que deve ser transmitida de forma inequívoca;",CDC_art26_par2
CDC_art26_par2_incII,CDC,26,II,incise,II -(Vetado).,CDC_art26_par2
CDC_art26_par2_incIII,CDC,26,III,incise,"III - a instauração de inquérito civil, até seu encerramento.",CDC_art26_par2
CDC_art26_par3,CDC,26,§ 3°,paragraph,"§ 3° Tratando-se de vício oculto, o prazo decadencial inicia-se no momento em que ficar evidenciado o defeito.",CDC_art26
CDC_art28_par1,CDC,28,§ 1°,paragraph,§ 1°(Vetado).,CDC_art28
CDC_art28_par2,CDC,28,§ 2°,paragraph,"§ 2° As sociedades integrantes dos grupos societários e as sociedades controladas, são subsidiariamente responsáveis pelas obrigações decorrentes deste código.",CDC_art28
CDC_art28_par3,CDC,28,§ 3°,paragraph,§ 3° As sociedades consorciadas são solidariamente responsáveis pelas obrigações decorrentes deste código.,CDC_art28
CDC_art28_par4,CDC,28,§ 4°,paragraph,§ 4° As sociedades coligadas só responderão por culpa.,CDC_art28
CDC_art28_par5,CDC,28,§ 5°,paragraph,"§ 5° Também poderá ser desconsiderada a pessoa jurídica sempre que sua personalidade for, de alguma forma, obstáculo ao ressarcimento de prejuízos causados aos consumidores.",CDC_art28
