nodeId,edition,thesis_text,source_url,temporal_status,authority_weight
STJThesis_EDICAO_N__83__BANCARIO_-_II_t6,EDIÇÃO N. 83: BANCÁRIO - II,6) Não há relação de acessoriedade entre o contrato de compra e venda de bem de consumo e o de financiamento bancário com alienação fiduciária destinado a viabilizar a aquisição do bem.,http://www.stj.jus.br/SCON/jt/toc.jsp?edicao=EDICAO+N.+83%3A+BANCARIO+-+II,active,0.8
STJThesis_EDICAO_N__42__DIREITO_DO_CONSUMIDOR_II_t5,EDIÇÃO N. 42: DIREITO DO CONSUMIDOR II,5) É cabível indenização por dano moral quando o consumidor de veículo zero-quilômetro necessita retornar à concessionária por diversas vezes para reparo de defeitos apresentados no veículo.,http://www.stj.jus.br/SCON/jt/toc.jsp?edicao=EDICAO+N.+42%3A+DIREITO+DO+CONSUMIDOR+II,active,0.8
STJThesis_EDICAO_N__42__DIREITO_DO_CONSUMIDOR_II_t6,EDIÇÃO N. 42: DIREITO DO CONSUMIDOR II,6) A constatação de defeito em veículo zero-quilômetro revela hipótese de vício do produto e impõe a responsabilização solidária da concessionária e do fabricante.,http://www.stj.jus.br/SCON/jt/toc.jsp?edicao=EDICAO+N.+42%3A+DIREITO+DO+CONSUMIDOR+II,active,0.8
STJThesis_EDICAO_N__42__DIREITO_DO_CONSUMIDOR_II_t12,EDIÇÃO N. 42: DIREITO DO CONSUMIDOR II,12) O início da contagem do prazo de decadência para a reclamação de vícios do produto (art. 26 do CDC) se dá após o encerramento da garantia contratual.,http://www.stj.jus.br/SCON/jt/toc.jsp?edicao=EDICAO+N.+42%3A+DIREITO+DO+CONSUMIDOR+II,active,0.8
STJThesis_EDICAO_N__74__DIREITO_DO_CONSUMIDOR_III_t18,EDIÇÃO N. 74: DIREITO DO CONSUMIDOR III,18) É solidária a responsabilidade entre aqueles que veiculam publicidade enganosa e os que dela se aproveitam na comercialização de seu produto ou serviço.,http://www.stj.jus.br/SCON/jt/toc.jsp?edicao=EDICAO+N.+74%3A+DIREITO+DO+CONSUMIDOR+III,active,0.8
STJThesis_EDICAO_N__99__DOS_CRIMES_CONTRA_A_ORDEM_TRIBUTARIA_ECONOMICA_E_CONTRA_AS_RELACOES_DE_CONSUMO_-_II_t9,"EDIÇÃO N. 99: DOS CRIMES CONTRA A ORDEM TRIBUTÁRIA,ECONÔMICA E CONTRA AS RELAÇÕES DE CONSUMO - II","9) É indispensável a realização de perícia para a demonstração da materialidade delitiva do crime contra as relações de consumo tipificado no art. 7º, parágrafo único, inciso IX, da Lei n. 8.137/1990.",http://www.stj.jus.br/SCON/jt/toc.jsp?edicao=EDICAO+N.+99%3A+DOS+CRIMES+CONTRA+A+ORDEM+TRIBUTARIA%2CECONOMICA+E%0ACONTRA+AS+RELACOES+DE+CONSUMO+-+II,active,0.8
STJThesis_EDICAO_N__189__EMBARGOS_DE_DECLARACAO_I_t7,EDIÇÃO N. 189: EMBARGOS DE DECLARAÇÃO I,"7) Admite-se, excepcionalmente, a oposição de embargos de declaração para obter a juntada de notas taquigráficas aos autos quando indispensáveis à compreensão do acórdão ou ao exercício da ampla defesa.",http://www.stj.jus.br/SCON/jt/toc.jsp?edicao=EDICAO+N.+189%3A+EMBARGOS+DE+DECLARACAO+I,active,0.8
